relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
AFP_ENG_20080808.0371.LDC2009T13_188_12-AFP_ENG_20080808.0371.LDC2009T13_188_2,AFP_ENG_20080808.0371.LDC2009T13_188,Benazir Bhutto-Asif Ali Zardari,t,0.936,"{Coalition,leaders,Asif,Ali,Zardari,--,the,widower,of,slain,former,premier,Benazir,Bhutto,--,and,Nawaz,Sharif,announced,on,Thursday,that,they,would,seek,Musharraf,'s,impeachment,for,allegedly,mismanaging,the,country,.}",12,2,2,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NGRAM_2_[widower of]"",""INV_W_NER_L_1_R_3_[O]_[O O PERSON]""}","{1.08611,0.849673,-0.763446,-0.651428,0.605642,-0.427405}"
APW_ENG_20070713.1226.LDC2009T13_351_8-APW_ENG_20070713.1226.LDC2009T13_351_0,APW_ENG_20070713.1226.LDC2009T13_351,Franklin D. Roosevelt-Eleanor Roosevelt,t,0.94,"{Eleanor,Roosevelt,was,the,wife,of,former,President,Franklin,D.,Roosevelt,"","",and,was,known,for,her,promotion,of,social,welfare,programs,during,the,Depression,and,civil,rights,.}",8,3,0,2,2,"{INV_NGRAM_1_[wife],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_LENGTHS_[4_3],""INV_NGRAM_2_[wife of]"",""INV_NGRAM_2_[former President]""}","{1.40876,-0.763446,-0.651428,0.572016,0.517108,0.352894}"
AFP_ENG_20081106.0539.LDC2009T13_491_2-AFP_ENG_20081106.0539.LDC2009T13_491_23,AFP_ENG_20081106.0539.LDC2009T13_491,George Takei-Brad Altman,t,0.95,"{Japanese-American,actor,George,Takei,"","",who,played,Mr,Sulu,in,the,long-running,series,``,Star,Trek,'',and,who,married,his,longtime,partner,Brad,Altman,in,September,"","",said,his,marriage,would,remain,valid,no,matter,what,.}",2,2,23,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],LENGTHS_[2_2],NGRAM_1_[partner],""NGRAM_1_[,]"",NGRAM_1_[play]}","{-1.31464,1.12548,1.00097,0.868,-0.736788,-0.360127}"
AFP_ENG_20080114.0145.LDC2009T13_9_3-AFP_ENG_20080114.0145.LDC2009T13_9_27,AFP_ENG_20080114.0145.LDC2009T13_9,Britney Spears-Kevin Federline,t,0.966,"{Troubled,pop,star,Britney,Spears,was,yet,to,arrive,at,a,Los,Angeles,court,on,Monday,for,a,crucial,hearing,in,her,bitter,custody,battle,with,ex-husband,Kevin,Federline,.}",3,2,27,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_3],NGRAM_1_[ex-husband],NGRAM_1_[she],NGRAM_1_[custody],NGRAM_1_[with]}","{-1.31464,0.973073,0.892243,0.686583,0.369509,0.333158}"
AFP_ENG_20081016.0160.LDC2009T13_9_2-AFP_ENG_20081016.0160.LDC2009T13_9_7,AFP_ENG_20081016.0160.LDC2009T13_9,Kevin Costner-Christine Baumgartner,t,0.95,"{Oscar-winning,actor-director,Kevin,Costner,and,his,wife,Christine,Baumgartner,are,expecting,their,second,child,"","",a,spokesman,for,the,star,confirmed,to,AFP,Thursday,.}",2,2,7,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_4],""NER_SEQ_[O O O]"",NGRAM_1_[he],""BETW_L_[nsubj nsubj dep]""}","{1.45266,-1.31464,1.22152,0.507892,0.311969,0.242475}"
APW_ENG_20070614.0030.LDC2009T13_19_9-APW_ENG_20070614.0030.LDC2009T13_19_0,APW_ENG_20070614.0030.LDC2009T13_19,Billy Graham-Ruth Graham,t,0.964,"{Ruth,Graham,"","",the,ailing,wife,of,influential,evangelist,Billy,Graham,"","",fell,into,a,coma,and,appears,to,be,close,to,death,"","",a,family,spokesman,said,.}",9,2,0,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[2_2],""INV_BETW_D_[prep_of DICT_married appos]"",INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED}","{1.40876,1.0991,0.850398,-0.763446,-0.66542,-0.651428}"
APW_ENG_20070104.1581.LDC2009T13_345_13-APW_ENG_20070104.1581.LDC2009T13_345_2,APW_ENG_20070104.1581.LDC2009T13_345,Hillary Rodham Clinton-Bill Clinton,t,0.962,"{Former,President,Bill,Clinton,watched,from,the,gallery,as,his,wife,"","",Sen.,Hillary,Rodham,Clinton,"","",was,sworn,in,for,a,second,term,from,New,York,.}",13,3,2,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[4_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,INV_NGRAM_1_[Sen.]}","{1.40876,1.27709,-0.763446,-0.66542,-0.651428,-0.349513}"
AFP_ENG_20080919.0518.LDC2009T13_128_3-AFP_ENG_20080919.0518.LDC2009T13_128_15,AFP_ENG_20080919.0518.LDC2009T13_128,Kyaw Naing-Zaw Zaw Latt,,0.908,"{Myanmar,'s,Soe,Kyaw,Naing,sank,a,hole-in-one,at,the,14th,as,he,and,partner,Zaw,Zaw,Latt,carded,a,69,for,equal,fourth,with,Singapore,'s,Mardan,Mamat,and,Lam,Chih,Bing,-LRB-,73,-RRB-,and,Italy,'s,Francesco,Molinari,and,Edoardo,Molinari,-LRB-,71,-RRB-,.}",3,2,15,3,3,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],NGRAM_1_[partner],""NGRAM_2_[he and]"",NGRAM_1_[he],""BETW_L_[nsubj advcl nsubj]""}","{-1.31464,1.00097,0.868,0.412707,0.311969,0.273595}"
AFP_ENG_20080822.0322.LDC2009T13_204_0-AFP_ENG_20080822.0322.LDC2009T13_204_10,AFP_ENG_20080822.0322.LDC2009T13_204,Asif Ali Zardari-Benazir Bhutto,t,0.98,"{Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,and,now,leader,of,her,Pakistan,People,'s,Party,-LRB-,PPP,-RRB-,"","",is,the,frontrunner,for,the,presidency,after,the,party,'s,MPs,urged,him,to,stand,for,the,post,.}",0,3,10,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[3_2],NGRAM_1_[widower],""NGRAM_1_[,]"",""NGRAM_2_[widower of]"",""BETW_L_[appos prep_of]""}","{-1.31464,1.08145,0.833708,-0.736788,0.625951,0.476602}"
AFP_ENG_20081016.0554.LDC2009T13_661_16-AFP_ENG_20081016.0554.LDC2009T13_661_0,AFP_ENG_20081016.0554.LDC2009T13_661,Sean Penn.-Madonna,,0.93,"{Madonna,--,her,full,name,is,Madonna,Louise,Ciccone,--,was,previously,married,to,US,actor,Sean,Penn.,.}",16,2,0,1,1,"{INV_NGRAM_1_[marry],INV_W_LEMMA_L_1_R_1_[.]_[.],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,""INV_W_NER_L_3_R_1_[PERSON PERSON O]_[O]""}","{1.16876,1.06058,-0.763446,0.658011,-0.651428,-0.5163}"
AFP_ENG_20080327.0186.LDC2009T13_134_36-AFP_ENG_20080327.0186.LDC2009T13_134_27,AFP_ENG_20080327.0186.LDC2009T13_134,Guy Ritchie-Madonna,t,0.902,"{He,introduced,a,controversial,road,charging,scheme,in,2003,to,cut,congestion,in,central,London,"","",later,widening,it,to,west,London,"","",the,area,in,which,Madonna,lives,with,her,British,film,director,husband,"","",Guy,Ritchie,.}",36,2,27,1,1,"{INV_NGRAM_1_[husband],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with]}","{1.33699,-0.763446,-0.66542,0.658011,-0.651428,0.415228}"
AFP_ENG_20080114.0045.LDC2009T13_9_12-AFP_ENG_20080114.0045.LDC2009T13_9_2,AFP_ENG_20080114.0045.LDC2009T13_9,Carla Bruni-Nicolas Sarkozy,t,0.948,"{French,President,Nicolas,Sarkozy,is,believed,to,have,married,former,Italian,supermodel,Carla,Bruni,at,a,small,private,ceremony,held,at,the,Elysee,palace,last,week,"","",a,French,newspaper,reported,Monday,.}",12,2,2,2,2,"{INV_NGRAM_1_[marry],INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[former],INV_NGRAM_1_[be]}","{1.16876,1.08611,-0.763446,-0.651428,0.249809,0.232389}"
AFP_ENG_20080210.0391.LDC2009T13_452_10-AFP_ENG_20080210.0391.LDC2009T13_452_18,AFP_ENG_20080210.0391.LDC2009T13_452,Aung San Suu Kyi-Michael Aris,t,0.914,"{One,clause,bars,anyone,married,to,foreigners,from,standing,--,Aung,San,Suu,Kyi,was,married,to,Briton,Michael,Aris,"","",who,died,in,1999,.}",10,4,18,2,2,"{STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[marry],LENGTHS_[3_2],""NGRAM_2_[marry to]"",""W_LEMMA_L_1_R_1_[--]_[,]"",NGRAM_1_[be]}","{-1.31464,1.12548,1.08145,0.452846,0.274786,0.153606}"
AFP_ENG_20080822.0322.LDC2009T13_204_10-AFP_ENG_20080822.0322.LDC2009T13_204_0,AFP_ENG_20080822.0322.LDC2009T13_204,Benazir Bhutto-Asif Ali Zardari,t,0.99,"{Asif,Ali,Zardari,"","",the,widower,of,slain,former,premier,Benazir,Bhutto,and,now,leader,of,her,Pakistan,People,'s,Party,-LRB-,PPP,-RRB-,"","",is,the,frontrunner,for,the,presidency,after,the,party,'s,MPs,urged,him,to,stand,for,the,post,.}",10,2,0,3,3,"{INV_LENGTHS_[2_3],INV_NGRAM_1_[widower],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",IS_INVERTED,""INV_NGRAM_2_[widower of]""}","{1.08611,0.849673,-0.763446,-0.66542,-0.651428,0.605642}"
AFP_ENG_20070410.0091.LDC2009T13_10_16-AFP_ENG_20070410.0091.LDC2009T13_10_11,AFP_ENG_20070410.0091.LDC2009T13_10,Arun Nayar-Elizabeth Hurley,t,0.912,"{An,Indian,court,will,this,week,hear,testimony,that,British,model,Elizabeth,Hurley,and,her,husband,Arun,Nayar,mocked,Hindu,traditions,with,their,``,showcase,'',wedding,"","",a,laywer,said,Tuesday,.}",16,2,11,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_3],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,""INV_NER_SEQ_[O O O]""}","{1.33699,1.08611,-0.763446,0.658011,-0.651428,0.546301}"
AFP_ENG_20081016.0160.LDC2009T13_9_7-AFP_ENG_20081016.0160.LDC2009T13_9_2,AFP_ENG_20081016.0160.LDC2009T13_9,Christine Baumgartner-Kevin Costner,t,0.944,"{Oscar-winning,actor-director,Kevin,Costner,and,his,wife,Christine,Baumgartner,are,expecting,their,second,child,"","",a,spokesman,for,the,star,confirmed,to,AFP,Thursday,.}",7,2,2,2,2,"{INV_NGRAM_1_[wife],INV_LENGTHS_[4_2],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O]"",INV_NGRAM_1_[he]}","{1.40876,1.27709,-0.763446,-0.651428,0.546301,0.327682}"
NYT_ENG_20070313.0244.LDC2009T13_59_0-NYT_ENG_20070313.0244.LDC2009T13_59_11,NYT_ENG_20070313.0244.LDC2009T13_59,Niki Tsongas-Paul Tsongas,t,0.966,"{Niki,Tsongas,"","",a,Democrat,and,the,widow,of,US,senator,Paul,Tsongas,"","",is,the,highest-profile,candidate,in,the,race,so,far,.}",0,2,11,2,2,"{STARTS_WITH_CAPITAL_[True_True],LENGTHS_[2_2],""BETW_D_[appos DICT_married prep_of]"",""NGRAM_1_[,]"",NGRAM_1_[widow],""BETW_L_[appos prep_of]""}","{-1.31464,1.00097,0.819902,-0.736788,0.733919,0.476602}"
NYT_ENG_20070627.0114.LDC2009T13_14_40-NYT_ENG_20070627.0114.LDC2009T13_14_15,NYT_ENG_20070627.0114.LDC2009T13_14,John Edwards-Ann Coulter,,0.966,"{WASHINGTON,-,When,Elizabeth,Edwards,called,in,to,a,cable,news,program,Tuesday,to,confront,Ann,Coulter,about,incendiary,remarks,the,conservative,commentator,has,made,about,her,husband,"","",it,was,nothing,new,for,the,wife,of,Democratic,presidential,candidate,John,Edwards,.}",40,2,15,2,2,"{INV_NGRAM_1_[wife],INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[she]}","{1.40876,1.33699,1.0991,-0.763446,-0.66542,0.658011}"
eng-WL-11-174598-12965174_4954_25-eng-WL-11-174598-12965174_4954_10,eng-WL-11-174598-12965174_4954,Patrick Watson-Maxine Bahns,t,0.908,"{The,Mentalist,star,-LSB-,SIZE,=,``,4,'',-RSB-,Maxine,Bahns,-LSB-,""\\/"",SIZE,-RSB-,has,welcomed,a,child,with,her,adventure,racer,husband,Patrick,Watson,.}",25,2,10,2,2,"{INV_NGRAM_1_[husband],INV_LENGTHS_[2_2],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[she],IS_INVERTED,INV_NGRAM_1_[with]}","{1.33699,1.0991,-0.763446,0.658011,-0.651428,0.415228}"
